,Precinct,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Name_3,Party_3,Votes_3,Name_4,Party_4,Votes_4,Name_5,Party_5,Votes_5,Name_6,Party_6,Votes_6,Name_7,Party_7,Votes_7,Votes_total,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5,Pct_6,Pct_7,Margin
0,King 1036,Girmay Zahilay,None,88,Larry Gossett,None2,68,,,0,,,0,,,0,,,0,,,0,156,56.41,43.59,0.0,0.0,0.0,0.0,0.0,12.82
1,King 1069,Larry Gossett,None2,180,Girmay Zahilay,None,138,,,0,,,0,,,0,,,0,,,0,318,56.6,43.4,0.0,0.0,0.0,0.0,0.0,13.2
2,King 1196,Larry Gossett,None2,109,Girmay Zahilay,None,109,,,0,,,0,,,0,,,0,,,0,218,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
3,King 1262,Girmay Zahilay,None,156,Larry Gossett,None2,105,,,0,,,0,,,0,,,0,,,0,261,59.77,40.23,0.0,0.0,0.0,0.0,0.0,19.54
4,King 1271,Girmay Zahilay,None,159,Larry Gossett,None2,63,,,0,,,0,,,0,,,0,,,0,222,71.62,28.38,0.0,0.0,0.0,0.0,0.0,43.24
5,King 1553,Girmay Zahilay,None,143,Larry Gossett,None2,104,,,0,,,0,,,0,,,0,,,0,247,57.89,42.11,0.0,0.0,0.0,0.0,0.0,15.78
6,King 1555,Girmay Zahilay,None,144,Larry Gossett,None2,82,,,0,,,0,,,0,,,0,,,0,226,63.72,36.28,0.0,0.0,0.0,0.0,0.0,27.44
7,King 1557,Girmay Zahilay,None,66,Larry Gossett,None2,59,,,0,,,0,,,0,,,0,,,0,125,52.8,47.2,0.0,0.0,0.0,0.0,0.0,5.6
8,King 1558,Larry Gossett,None2,130,Girmay Zahilay,None,123,,,0,,,0,,,0,,,0,,,0,253,51.38,48.62,0.0,0.0,0.0,0.0,0.0,2.76
9,King 1559,Girmay Zahilay,None,73,Larry Gossett,None2,53,,,0,,,0,,,0,,,0,,,0,126,57.94,42.06,0.0,0.0,0.0,0.0,0.0,15.88
10,King 1563,Girmay Zahilay,None,74,Larry Gossett,None2,60,,,0,,,0,,,0,,,0,,,0,134,55.22,44.78,0.0,0.0,0.0,0.0,0.0,10.44
