,Title,Location,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Votes_total,Pct_1,Pct_2,Margin
0,Spokane,Spokane 3100,Lisa Brown,None,114,Nadine Woodward,None,80,194,58.8,41.2,17.6
1,Spokane,Spokane 3101,Lisa Brown,None,71,Nadine Woodward,None,79,150,47.3,52.7,-5.4
2,Spokane,Spokane 3102,Lisa Brown,None,178,Nadine Woodward,None,160,338,52.7,47.3,5.4
3,Spokane,Spokane 3103,Lisa Brown,None,127,Nadine Woodward,None,138,265,47.9,52.1,-4.2
4,Spokane,Spokane 3104,Lisa Brown,None,93,Nadine Woodward,None,111,204,45.6,54.4,-8.8
5,Spokane,Spokane 3105,Lisa Brown,None,20,Nadine Woodward,None,28,48,41.7,58.3,-16.6
6,Spokane,Spokane 3106,Lisa Brown,None,105,Nadine Woodward,None,63,168,62.5,37.5,25.0
7,Spokane,Spokane 3107,Lisa Brown,None,73,Nadine Woodward,None,80,153,47.7,52.3,-4.6
8,Spokane,Spokane 3108,Lisa Brown,None,127,Nadine Woodward,None,77,204,62.3,37.7,24.6
9,Spokane,Spokane 3109,Lisa Brown,None,55,Nadine Woodward,None,40,95,57.9,42.1,15.8
10,Spokane,Spokane 3110,Lisa Brown,None,127,Nadine Woodward,None,109,236,53.8,46.2,7.6
11,Spokane,Spokane 3200,Lisa Brown,None,150,Nadine Woodward,None,140,290,51.7,48.3,3.4
12,Spokane,Spokane 3201,Lisa Brown,None,93,Nadine Woodward,None,93,186,50.0,50.0,0.0
13,Spokane,Spokane 3202,Lisa Brown,None,113,Nadine Woodward,None,78,191,59.2,40.8,18.4
14,Spokane,Spokane 3203,Lisa Brown,None,175,Nadine Woodward,None,75,250,70.0,30.0,40.0
15,Spokane,Spokane 3204,Lisa Brown,None,188,Nadine Woodward,None,71,259,72.6,27.4,45.2
16,Spokane,Spokane 3205,Lisa Brown,None,203,Nadine Woodward,None,99,302,67.2,32.8,34.4
17,Spokane,Spokane 3206,Lisa Brown,None,220,Nadine Woodward,None,69,289,76.1,23.9,52.2
18,Spokane,Spokane 3207,Lisa Brown,None,105,Nadine Woodward,None,60,165,63.6,36.4,27.2
19,Spokane,Spokane 3208,Lisa Brown,None,56,Nadine Woodward,None,56,112,50.0,50.0,0.0
20,Spokane,Spokane 3209,Lisa Brown,None,75,Nadine Woodward,None,101,176,42.6,57.4,-14.8
21,Spokane,Spokane 3210,Lisa Brown,None,260,Nadine Woodward,None,96,356,73.0,27.0,46.0
